Pergunta,RespostaCorreta,Alternativa2,Alternativa3,Alternativa4,Dificuldade
Em que ano o Brasil foi descoberto?,1500,1400,1498,1450,M
Qual a forma de governo praticada no Brasil?,Republica,Ditadura militar,Monarquia,Anarquia,F
O ser humano é homo ... ,Sapiens,Neanderthalensis,Abilis,Florensiensis,F
Qual o nome do tratado entre Portugal e Espanha na epoca das grandes navegações?,Tratado de Tordesilhas,Tratado de Versales,Tratado de Paris,Tratado de Genebra,M
Com que idade Dom Pedro II tornou-se imperador do Brasil?,5 anos,10 anos,31 anos,8 anos,D
Em que ano foi dado o golpe militar?,1964,1988,1945,1890,F
Entre os princípios do movimento Iluminista estão:,O uso da razão e liberdade,A fé religiosa.,Mercantilismo.,O imperialismo,D
"O líder da Inconfidência Mineira, conhecido por Tiradentes, chamava-se:",Joaquim José da Silva Xavier,Eusébio de Queirós,José Bonifácio,Washington Luís,D
Quando ocorreu a Primeira Revolução Industrial?,1760,1800,1650,1790,M
"Entre as características do Período Neolítico, destaca-se:",início da agricultura.,A produção do fogo,O nomadismo,A invenção do arco e da flecha.,M
A partir de qual advento a história é datada?,Criação da escrita,Criação da fala,Criação da pintura,Criação de gado,M
"Quem liderou as caravelas Santa Maria, Niña e Pinta?",Cristóvão Colombo,Vasco da Gama,Pedro Álvares Cabral,Manuel Aires de Casal,D
"Na mitologia grega, quem é considerado o Rei dos Deuses?",Zeus,Apolo,Dionísio,Ades,F
Qual o primeiro movimento revolucionário no Brasil influenciado pelo Iluminismo europeu?,Inconfidência Mineira,Revolução Farroupilha,Revolução Pernambucana,Conjuração Baiana,D
Qual cidade ja foi capital do país?,Rio de Janeiro,São Paulo,São Carlos,Porto Seguro,F
