Pergunta,RespostaCorreta,Alternativa2,Alternativa3,Alternativa4,Dificuldade
Qual das palavras abaixo não é o nome de um país?,Belgrado,Tonga,Chipre,Ruanda,D
O país El Salvador está localizado na..., América Central, América do Norte,Ásia,América do Sul,M
Qual a capital do Canadá,Toronto,Quebec,Ottawa,Winnipeg,F
A capital dos Emirados Árabes Unidos é:,Abu Dhabi,Dubai,Arábia Saudita,Istambul,M
"Braga, Faro e Guimarães são...",cidades de Portugal,Pontos turísticos do Brasil,Monumentos Peruanos,Estados uruguaios,D
Qual destes países é transcontinental?,Russia,Filipinas,Instambul,Groelandia,M
Qual a capital do Acre,Rio Branco,São paulo,Rio de janeiro,Belo Horizonte,F
Qual o menor país do mundo?,Vaticano,Italia,Coreia do sul,coreia do norte,M
"A antiga Iugoslávia foi dividida em vários países, entre os quais não está:",Eslováquia,Sérvia,Croácia,Bósnia e Herzegovina,D
Qual o lugar mais profundo da Terra?,Fossa das marianas,Fossa ondina,Fossa oceanica,Fossa do pacifcio,D
Qual rio é está no brasil?,Rio amazonas,Rio nilo,Rio tigre,Rio eufrates,F
O que representam as estrelas na bandeira do Brasil?,os estados e o distrito federal brasileiro,a Floresta Amazônica,a riqueza natural do país,a esperança,F
Pyongyang é a capital de qual país?,Coreia do norte,Coreia do sul,Japão,China,M
Em qual continente o Brasil está localizado,America do sul,America central,America do norte,Africa,F
Geologia é a ciência que estuda...,a crosta terrestre,a elaboração de mapas,o povo de um país,as vegetações,D
