Pergunta,RespostaCorreta,Alternativa2,Alternativa3,Alternativa4,Dificuldade
"Sendo A = 3, quanto é 2*A + 5 - 4 *A ",-1,3,11,0,F
O que é um compasso?,instrumento para desenho,um relógio antigo,um medidor de pressão arterial,instrumento de medição,F
Abscissa é o nome da...,eixo x em um plano cartesiano,adição de dois números,ponta de um triângulo,lateral de um quadrado,M
Um quadrado possui 4 angulos ...,Retos,Obtusos,Curvados,Inclinados,M
A operação inversa da potenciação é a:,radiciação,subtração,divisão,multiplicação,M
O plano utilizado para manipular coordenadas é o:,Plano cartesiano,Plano tridimensional,Plano Abstrato,Plano contínuo,M
A massa de um objeto é a propriedade que indica o quanto ele é...,pesado,volumoso,resistente,pequeno,M
Uma matriz quadrada possui:,Numero de linhas igual colunas,Linhas e colunas zero,Linhas e colunas Diferentes,Linhas e colunas Opostas,D
"A unidade ""grama"" mede:",Massa,Velocidade,Altura,Largura,F
Quantos metros são 2 dam?,20,200,2000,"0,2",D
A área do quadrado é dada por,L * L,2 * L, 4 * L, 2 + L,F
É um paralelogramo que possui os quatro lados sempre iguais:,losango,cubo,retângulo,trapézio,D
O que é uma fração?,Divisão de dois números,Um número elevado ao quadrado,Uma soma,A raiz quadrada de um número x,F
O que é um decágono?,um polígono com 10 lados,um conjunto com 10 elementos,uma combinação de 10 numeros,um número elevado à 10,D
Um icosaedro regular tem quantos lados?,20,10,6,12,D
